,name,code,germ,surv
ARCA,Arctotheca calendula,ARCA,0.196047619,0.3383571429
STPA,Austrostipa elegantissima,STPA,0.196094687,0.4513468422
CAHI,Calotis hispidula,CAHI,0.2289285714,0.6010930736
GITE,Gilberta tenuifolia,GITE,0.237037037,0.4513468422
GOBE,Goodenia berardiana,GOBE,0.1353750743,0.5199545455
GOPU,Goodenia pusilliflora,GOPU,0.196094687,0.5368727216
HAOD,Haloragis odontocarpa,HAOD,0.2933285838,0.3645837438
HYGL,Hyalosperma glutinosum glutinosum,HYGL,0.2433029001,0.5099130424
HYPO,Hypochaeris glabra,HYPO,0.5847073566,0.6153889626
MEDI,Medicago sp.,MEDI,0.0768055556,0.8670972468
PEAI,Pentameris airoides,PEAI,0.2039030911,0.3017867586
PEDU,Petrorhagia dubia,PEDU,0.196094687,0.4513468422
PLDE,Plantago debilis,PLDE,0.2797917346,0.3216503022
POCA,Podolepis canescens,POCA,0.2961543974,0.4018594771
POLE,Podolepis lessonii,POLE,0.2366502961,0.2955715576
PTGA,Ptilotus eremita,PTGA,0.1155952381,0.6144856934
TRCY,Trachymene cyanopetala,TRCY,0.0484259259,0.3022690058
TROR,Trachymene ornata,TROR,0.0619444444,0.2592121212
VECY,Velleia cycnopotamica,VECY,0.0177631579,0.3697963659
VERO,Velleia rosea,VERO,0.1117105263,0.4755726817
WAAC,Waitzia acuminata,WAAC,0.196094687,0.4513468422
EROD,Erodium cygnorum,EROD,0.196094687,0.4513468422
