"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
4.37855819027694,2.57143221201435,2.87622959113261,3.31467984256384,4.09768728810174,4.48890432101755,2.46977468249195,3.49175385198694,3.87153320738128,2.73262577768166,5.66826085237168,4.16543924223477,3.78284322533768,5.91369028708666,6.5301884999338,3.20641828045839,4.07652240774688,2.87361783666639,1.84874962503004,4.36086096097723,3.87541581820156,5.47200193386716
4.30206074728429,2.32728488994204,2.66910643438247,4.43136661266511,4.19085027158567,4.44549530299854,2.51080136905126,3.62674537702125,3.71421065559427,2.7985202637801,5.7771753735484,4.25417159490602,3.71517315261004,5.87952105375912,6.63281487089255,3.07388238049713,3.81657278483209,2.81567398502367,1.51867778232139,4.7472468200467,3.94163978006912,5.85245097639403
4.28542092980826,2.68324144888419,2.77895426403991,4.16208785203599,4.05241982083148,4.31116179180891,2.28436439080015,3.60156991533115,3.71369576933224,3.0305578771585,5.70286729962705,4.28491109717744,3.8180063391138,5.83608830204298,6.81114651950465,3.20058855124388,4.05703858557808,2.73380545197316,1.8087454843167,4.7574746827521,3.92383518046854,5.71263951454419
4.29713576154245,2.88948787395424,2.805121122692,3.82296643560583,4.36998580418029,4.42350217249313,2.96217548340258,3.65176969352832,3.57338210279942,2.60406770411557,5.70015103198939,4.52304353023417,3.64571222308159,5.71842815600191,6.826048698111,3.0923405679289,3.88449045016845,2.6766802065028,1.74680534996782,4.42731651843994,3.90290596879316,5.46169767537071
4.29703764533952,2.57214871638157,2.83861161598158,3.20072245891139,3.99002394497648,4.37815949303084,2.76232667127158,3.60054092128813,4.0153648926264,2.9737371323197,5.74117061340249,4.29179497010489,3.58289892819964,5.86137833520255,6.61465716544454,3.28426791477409,3.99905908004454,2.8210444564635,1.54041857966061,4.67830729587202,3.95774382225153,5.91771177670716
4.36641792379365,2.81015517525872,2.89597818757599,3.94693230601409,4.14255999815905,4.38243353662695,2.65624343917386,3.59267481995899,4.00073263427923,2.91466837532282,5.73339280040542,4.11490912297132,3.64517323476354,5.72193104266473,6.60126030972795,3.17984741356533,4.28701231705434,2.7878030383766,1.69296236921391,4.70708148435812,3.91953533058773,5.52977440835325
4.25789015473278,3.0334029465199,3.02566023599985,3.42473933695826,4.16821145052509,4.5038436876809,2.94621079451663,3.95756227873811,3.61644505253736,2.61641845724204,5.70703633976044,4.22855902315626,3.63789262361807,5.79446228287752,6.76644304443926,3.15431017380463,3.97373456746808,2.69253944079884,1.40786323309314,4.76704236788781,3.85197768748083,5.80196795826494
4.23719553186009,3.00180622475511,2.78630495915261,4.41292936314317,4.23672343277028,4.26613324979519,2.56616902420301,3.59908061543988,3.91645380454335,2.94070214574386,5.73938121310704,4.5695632824056,3.63277247718863,5.71036709890633,6.89933937386864,3.30002823622191,4.09272962466702,2.53639516536272,1.39666254316757,4.37185439728933,3.82759029376763,5.87502884405162
4.31564591545443,2.89705591826711,2.43147660727648,3.57864176217828,4.32035940345905,4.4238967352199,2.94402223214554,3.77714947351984,3.97324741676153,2.80309782902863,5.73983172514745,4.50080927021186,3.53841157728372,5.94239077241131,6.68211365440063,3.30485338913613,3.76580691268326,2.58577989043038,1.5278109709906,4.7216791133378,3.85256172115916,5.76968431160243
4.37100133465386,2.78979685008913,2.64421596329056,3.39694348721992,4.3368554615669,4.42099755219029,2.18747461016715,3.55556146545304,3.87472423470225,2.8851656174732,5.71621120118704,4.5495838941741,3.66525641208692,5.7902563137357,6.7507036353416,3.19045964696498,3.69670744553186,2.57079271167186,1.59918502367587,4.3684269147762,3.8867878237097,5.55808521459121
