"plot","seeds","focal","focalID","ARCA","CAHI","EROD","GITE","GOBE","POCA","TROR"
10,37,"ARCA","P10.ARCA1",1,0,0,0,0,0,0
10,75,"ARCA","P10.ARCA11",9,0,0,0,0,0,0
10,0,"ARCA","P10.ARCA113",9,0,0,0,0,0,0
10,11,"ARCA","P10.ARCA12",7,0,0,0,0,0,0
10,59,"ARCA","P10.ARCA22",13,0,0,0,0,0,0
10,35,"ARCA","P10.ARCA26",4,0,2,0,1,0,0
10,1,"ARCA","P10.ARCA27",4,0,2,0,1,0,0
10,29,"ARCA","P10.ARCA28",4,0,2,0,1,0,0
10,26,"ARCA","P10.ARCA3",7,0,1,0,1,0,0
10,48,"ARCA","P10.ARCA30",3,0,0,0,0,0,0
10,61,"ARCA","P10.ARCA31",6,0,0,0,0,0,0
10,60,"ARCA","P10.ARCA32",8,0,0,0,0,0,0
10,34,"ARCA","P10.ARCA33",16,0,0,0,0,0,0
10,13,"ARCA","P10.ARCA34",18,0,0,0,2,0,0
10,3,"ARCA","P10.ARCA35",18,0,0,0,2,0,0
10,17,"ARCA","P10.ARCA36",18,0,0,0,2,0,0
10,34,"ARCA","P10.ARCA37",22,0,0,0,2,0,0
10,4,"ARCA","P10.ARCA38",21,0,0,0,3,0,0
10,9,"ARCA","P10.ARCA39",23,0,0,0,3,0,0
10,36,"ARCA","P10.ARCA4",5,0,0,0,0,0,1
10,8,"ARCA","P10.ARCA40",23,0,0,0,2,0,0
10,3,"ARCA","P10.ARCA41",22,0,0,0,3,0,0
10,8,"ARCA","P10.ARCA42",7,0,0,0,3,1,0
10,8,"ARCA","P10.ARCA46",14,0,1,0,4,1,0
10,24,"ARCA","P10.ARCA47",17,0,0,0,4,0,0
10,7,"ARCA","P10.ARCA48",19,0,1,0,4,1,0
10,39,"ARCA","P10.ARCA49",9,0,1,0,2,0,0
10,8,"ARCA","P10.ARCA50",11,0,1,0,0,0,0
10,15,"ARCA","P10.ARCA51",14,0,0,0,1,0,0
10,29,"ARCA","P10.ARCA52",15,0,1,0,3,0,0
10,8,"ARCA","P10.ARCA53",16,0,1,0,3,0,0
10,8,"ARCA","P10.ARCA54",17,0,0,0,2,0,0
10,8,"ARCA","P10.ARCA55",20,0,0,0,3,0,0
10,8,"ARCA","P10.ARCA56",20,0,0,0,2,0,0
10,8,"ARCA","P10.ARCA57",17,0,0,0,0,0,0
10,5,"ARCA","P10.ARCA58",16,0,0,0,0,0,0
10,13,"ARCA","P10.ARCA59",20,0,0,0,2,0,0
10,40,"ARCA","P10.ARCA6",4,0,1,0,0,0,0
10,9,"ARCA","P10.ARCA60",18,0,0,0,2,0,0
10,18,"ARCA","P10.ARCA61",15,0,0,0,0,0,0
10,16,"ARCA","P10.ARCA62",17,0,0,0,0,0,0
10,27,"ARCA","P10.ARCA63",21,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA64",19,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA65",23,0,0,0,0,0,0
10,20,"ARCA","P10.ARCA67",3,0,1,0,0,0,0
10,2,"ARCA","P10.ARCA68",8,0,1,0,0,0,0
10,26,"ARCA","P10.ARCA69",9,0,0,0,0,0,0
10,26,"ARCA","P10.ARCA70",12,0,0,0,1,0,0
10,3,"ARCA","P10.ARCA71",11,0,0,0,1,0,0
10,16,"ARCA","P10.ARCA72",16,0,0,0,1,0,0
10,18,"ARCA","P10.ARCA73",9,0,0,0,1,0,0
10,10,"ARCA","P10.ARCA74",15,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA75",15,0,0,0,1,0,0
10,5,"ARCA","P10.ARCA76",14,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA77",17,0,0,0,1,0,0
10,7,"ARCA","P10.ARCA78",14,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA79",15,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA8",9,0,1,0,3,1,0
10,19,"ARCA","P10.ARCA80",16,0,0,0,1,0,0
10,10,"ARCA","P10.ARCA81",14,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA82",15,0,0,0,1,0,0
10,1,"ARCA","P10.ARCA83",15,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA84",10,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA85",15,0,0,0,1,0,0
10,1,"ARCA","P10.ARCA86",16,0,0,0,1,0,0
10,8,"ARCA","P10.ARCA87",15,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA88",4,0,0,0,0,0,0
10,18,"ARCA","P10.ARCA89",4,0,0,0,0,0,0
10,104,"ARCA","P10.ARCA9",4,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA90",4,0,0,0,0,0,0
10,14,"ARCA","P10.ARCA91",4,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA92",4,0,0,0,0,0,1
10,22,"ARCA","P10.ARCA93",9,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA94",10,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA95",10,0,0,0,0,0,0
10,5,"ARCA","P10.ARCA96",14,0,0,0,0,0,0
10,17,"ARCA","P10.ARCA97",14,0,0,0,0,0,0
10,8,"ARCA","P10.ARCA98",11,0,0,0,0,0,0
10,8,"EROD","P10.EROD1",5,0,2,0,1,0,0
10,5,"EROD","P10.EROD112",8,0,1,0,4,1,0
10,5,"EROD","P10.EROD2",5,0,1,0,0,0,0
10,16,"GOBE","P10.GOBE2",13,0,1,0,4,1,0
10,137,"POCA","P10.POCA1",7,0,1,0,2,1,0
10,2,"TROR","P10.TROR12",4,0,0,0,0,0,1
